hip,ra_deg,dec_deg,hp_mag
1,0.0009118508717948024,1.0890133181622599,9.2043
2,0.003797375190054703,-19.498837380461534,9.4017
3,0.0050079433379189115,38.85928608169592,6.6081
4,0.00838187979906013,-51.89354610684899,8.1498
5,0.009965019482786108,-40.59122445180342,8.7077
6,0.018140857929139245,3.9464881094093864,12.4488
7,0.022548920185134137,20.036601976412424,9.6795
8,0.027291750221668066,25.88647459977757,8.5522
9,0.035341944753126964,36.585937694584324,8.7534
10,0.036252964836118826,-50.86707363012125,8.6994
11,0.03729667048530708,46.94000167956055,7.3777
12,0.04091709911949154,-35.96022485630345,8.5598
13,0.041679545516628023,-22.594680697031098,8.9707
14,0.04827227292714494,-0.3604212381596202,7.4195
15,0.05030894881276263,50.79117363598052,8.7669
16,0.05140819699061087,-54.91412791052642,11.8279
17,0.05109972797286833,-40.192328398692254,8.2405
18,0.053139767120743434,-4.053737735682543,11.0625
19,0.05331689702310813,38.304086328473,6.689
20,0.06295066668621731,23.52928426718045,8.6208
21,0.0662358118778471,8.007234299219437,7.6923
22,0.07013560327378143,-49.352266743696255,8.8563
23,0.07442973287221456,13.312210973059132,7.6626
24,0.07604978249710287,-23.452748948788596,9.1657
25,0.07936601637869646,-44.290297301595416,6.4211
26,0.08434568997900362,-13.393297008738811,9.2438
27,0.08546969566317945,-41.297537027835354,9.4598
28,0.0872490676621598,-43.361799570781436,8.9385
29,0.09213090871894836,-49.1079550360269,9.3109
30,0.09613578630408764,42.14149903575842,8.3069
31,0.09809385810979132,2.6754777098156213,7.7648
32,0.09858350211193218,51.939490389229164,9.1042
33,0.09918058715981597,-10.462454370219499,8.2076
34,0.09946987355057753,26.91823820423348,6.5466
35,0.10256035060173367,-14.490480819651196,9.2353
36,0.10327568840895449,12.26709310895659,7.8503
37,0.10535182389792284,-47.17958397586494,10.5345
38,0.11104674936178156,-79.06183132055149,8.7854
39,0.11186159274928277,-16.69693028791033,7.5669
40,0.1219673421257089,67.21679288074016,10.336
41,0.116563318793594,54.302237673323496,8.7201
42,0.12538682873156304,25.844780426648434,8.291
43,0.12908906427973627,59.55973786104728,6.3456
44,0.13272256208122765,-3.306361984941251,8.0825
45,0.1342044945000217,-72.20271049488457,9.7391
46,0.1345443845232492,-25.622252963961262,8.735
47,0.13519194142330607,-56.835247897582526,10.8416
48,0.13522243996674088,-40.69044667007663,7.4752
49,0.13950053820606625,16.669031735276572,9.6309
50,0.1428704238555959,-53.09766265826678,6.6231
51,0.1433916091843587,1.0661977147713821,9.1049
52,0.14665841399696636,-77.02014071923476,8.6228
53,0.14738951387313123,-29.26338266641619,11.1006
54,0.15165520757619202,17.968955647860703,10.6972
55,0.15783358909800418,-66.68310341845925,7.5159
56,0.1628319869590562,0.22293901254183768,8.2798
57,0.16828521017703899,-69.67580051789282,8.4078
58,0.17376339716615563,62.176004777322426,7.1625
59,0.17444770930877013,55.72246266363269,9.1257
60,0.17542337049020865,-64.46582508797918,8.4336
61,0.17615726640041376,53.82218618215493,9.0314
62,0.17996160875725728,-45.42272674305557,8.4354
63,0.18174966679641177,45.25333299705482,6.3484
64,0.18458842056985517,-27.907546140273052,8.2463
65,0.18797519701518525,-54.83034066532159,11.1288
66,0.18854842983005773,-72.31824929638553,8.6404
67,0.19910112066415364,23.538248793490958,7.9346
68,0.2006361949184461,16.98896452123197,8.9324
69,0.2013718211611925,30.395892866277567,8.3785
70,0.20280421564901954,36.7776352093184,10.587
71,0.20709876350664314,36.78015288900261,8.4174
72,0.21946967287822924,-12.828670363723868,9.1074
73,0.2204575667085938,66.84796680436264,7.0364
74,0.22187285267665824,35.75272202577095,10.0824
75,0.22316183009878612,-50.446465009048076,7.5402
76,0.22821971816770656,32.825674436233044,9.0913
77,0.23052138703357225,-30.064173375907227,8.4315
78,0.23231254477439842,17.867841608891638,8.2267
79,0.2357230244837131,35.316753827145654,8.8073
80,0.24179260132022992,-11.8235372245208,8.5253
81,0.24386383229047195,-4.932114740049041,8.7088
82,0.24803153875140946,-10.935805331968396,9.6307
83,0.24808098500912923,52.080564189326566,8.9461
84,0.2518070727903138,27.886344083436086,9.7503
85,0.2560073633610604,-24.714048796645127,10.6983
86,0.26038257221708244,69.60349835493085,8.0655
87,0.261515206645653,-5.8349756633959675,7.9001
88,0.26915945484968373,-48.80985914414548,5.869
89,0.2771519983677966,53.16694227978337,7.985
90,0.2799998163335589,-41.887429662032346,7.7519
91,0.2805682649508421,-5.874332856270325,7.8145
92,0.29062551344991033,-20.705586564085966,8.8386
93,0.29222272497708474,-0.07592027684666945,8.2479
94,0.2948532486990437,-32.75680557961894,10.2385
95,0.3020391306669698,-11.964000326093108,8.7811
96,0.30489044367528245,13.974747717159813,10.6082
97,0.3073335299841423,-21.40404518936085,9.5922
98,0.3071781151822131,-52.798579388217,9.989
99,0.3160164933749658,60.35529783829134,6.9749
100,0.31645150012176293,19.741316419597798,8.6023
101,0.31976217058316586,-47.79382996914958,9.9922
102,0.32043180927664705,-41.48735579677046,7.1563
103,0.3221440535403498,-68.37102956570838,8.4078
104,0.3267364936148178,-31.899616617541735,9.4615
105,0.3278440611398513,70.9289577645847,7.8284
106,0.33016474647493743,49.9815850163058,6.3864
107,0.3338017794260248,-50.33739915813056,5.6243
108,0.33655432596961277,-70.12530741700859,8.6842
109,0.34660183418616386,6.791491053310158,7.3153
110,0.3487077061846995,39.610817919314066,8.7231
111,0.3490870615408556,34.28185975891407,11.4075
112,0.3569166615916112,-16.947826581259925,10.8532
113,0.36562068691098365,49.01041102832436,8.9466
114,0.371676191904052,30.735879152144232,8.06
115,0.37259639650049986,-62.923157710506764,7.5117
116,0.3753935649971726,-33.79270443247669,8.6976
117,0.3804078910849293,-72.60590359967891,8.7178
118,0.38648582164609907,-9.430035943758693,9.3268
119,0.39020243843493013,44.67544597152798,6.9834
120,0.3959886761825988,-45.344688860034715,8.4576
121,0.3964766586071338,28.423774398620562,6.9957
122,0.39937881016060844,-77.06529443444921,4.9354
123,0.4002416273042959,72.23660635145856,7.379
124,0.4042452902189095,61.22280390241644,5.6725
125,0.4047320121362952,-39.33667979354021,8.7833
126,0.4087332514394354,14.632306775823736,8.225
127,0.4120873291833974,-48.93516090010362,11.0007
128,0.41376506992867745,73.61187652885188,6.5638
129,0.4156020929410038,5.372750665403084,9.446
130,0.4182526300787467,-30.692506997627543,9.2966
131,0.4199422425095418,62.01815069352408,8.1954
132,0.42200521142837805,-34.653507698269244,10.7028
133,0.4233687535779643,-40.14866590927204,6.7434
134,0.42514062555940635,-1.1399721386245718,10.03
135,0.4267460074647393,-0.2174993913419113,8.7706
136,0.4286422227468807,24.25318096378157,6.7635
137,0.4326893445102549,42.36714830482899,6.2437
138,0.43720404567107957,-16.531721242298726,8.0006
139,0.4452919121775683,67.50697637443986,10.1512
140,0.4526742040776653,-68.10481116624646,9.1634
141,0.4534295228798304,36.35034544771735,8.6143
142,0.45374904998301885,66.30600226161567,7.4726
143,0.4551818913779262,21.462137483341568,10.4567
144,0.4550899832180092,76.17561124818182,8.8026
145,0.4559890857788624,-3.027479149829299,5.0831
146,0.45619186700171505,-25.797695173303776,9.0492
147,0.46604353251431246,21.026248679477945,8.6115
148,0.47879296072367383,15.52852845331676,8.2766
149,0.4786847633736413,26.005577273248765,11.3715
150,0.4803652715050718,-37.22984387372836,7.211
151,0.4845825617335999,-41.61373673019489,7.8718
152,0.4844528440887823,-28.130955482409753,10.1237
153,0.48454514186,12.654953135496843,9.0038
154,0.48996493299063687,-6.013971448657128,4.412
155,0.4911387630846773,46.26916290305915,10.0092
156,0.4968847963838617,63.35784573807124,8.6265
157,0.5003272471381446,-5.2139971295396395,8.6681
158,0.5004714892630688,-37.901790286509744,7.2519
159,0.5108112116847146,-2.76616336687382,7.009
160,0.5117148291529933,-69.2692071606858,8.6699
161,0.5124802205531969,33.69599039997702,9.1048
162,0.5133675602905159,27.118619587631695,9.9701
163,0.5171427734730549,-30.68523476519031,9.0205
164,0.5185784338203142,59.940012018053245,8.14
165,0.5197450675644478,-22.327470421682136,10.2635
166,0.5215265537776922,-56.51490166528216,8.997
167,0.5278072541025588,39.18321350075109,8.6055
168,0.5335221127681101,-2.819845576057525,9.7303
169,0.5350214688334541,-68.28020622689202,9.3369
170,0.5376776266871672,-20.87164218348777,9.7406
171,0.5401885397398147,27.08448917359553,5.8735
172,0.5428809543628037,67.40895635340112,9.2041
173,0.5495993772544164,47.5772222261876,8.5172
174,0.5515666622214659,59.96533824801787,9.0247
175,0.5524359709769722,49.77113897606423,7.9969
176,0.5533344776617184,44.428277438996325,8.9785
177,0.5602042244366031,-11.964347355170464,8.9846
178,0.5677959610587101,-27.135172985775334,8.0951
179,0.5688621553013573,-13.407515712729273,7.0259
180,0.570902360606993,-9.174894886854293,8.6374
181,0.5738166359474125,60.703194494069145,6.796
182,0.5811683490899833,52.58643707204547,8.7103
183,0.582975331925111,-29.720448379999148,4.9895
184,0.589775733618051,11.006340917078957,8.62
185,0.5901502245625264,10.785643945685248,8.6444
186,0.6006976499144852,8.956833572884385,6.3912
187,0.6021139213699572,-6.059181915341185,9.0992
188,0.6025040827101295,6.333136711809327,8.7493
189,0.6052870876901068,54.1351573189051,9.6208
190,0.6055559939720954,10.77665181426817,8.8555
191,0.6122875662451064,-46.02884117034269,12.6969
192,0.6198312374377799,8.393930247407322,8.3264
193,0.6216401912477227,-39.21249916128854,9.6224
194,0.6239892322640899,8.485578399076827,5.7806
195,0.6257371832575853,47.422959653843535,7.7337
196,0.6270043481764526,51.82997948761469,9.0616
197,0.632329108527189,42.14779895881731,9.1315
198,0.6326957957864947,15.335190090589828,9.0108
199,0.6350323348637722,16.256550915868214,7.2682
200,0.635463720517304,-33.992672163265134,10.4003
201,0.6393141573287658,18.683364386827996,8.3428
202,0.6417341992751056,54.55216095255667,8.6895
203,0.6422292405396766,-15.831269571874323,9.3429
204,0.6450843064215472,-43.94791323319276,8.6903
205,0.6457108873367244,-5.1866443593127896,8.6326
206,0.6468402272579729,18.83599582854342,8.6621
207,0.6503438068794184,66.09896232368585,6.0384
208,0.6499294380724019,-67.63428119084978,9.5725
209,0.6601556919322998,66.1003811734514,7.3013
210,0.6621485078987003,-8.487943660528375,9.1827
211,0.6631788521721061,-37.947680573347306,9.6688
212,0.6634428997719921,-29.07525134413141,10.3113
213,0.6668632458145389,51.472412856970706,7.8636
214,0.669172999114894,28.542221568267077,8.2428
215,0.6744904829016323,75.03619350351981,9.2965
216,0.6769224022630651,42.92069159695914,7.954
217,0.6744158150417708,82.97320956176269,7.3384
218,0.6797499031454121,-57.63363087799024,8.5823
219,0.69022939862118,6.034452398001875,8.6941
220,0.6917394002423575,35.815472798941606,7.573
221,0.6932135862717614,80.28224138791622,7.788
222,0.6944803730384839,-40.9831797629393,9.0207
223,0.6964112236193409,2.130376366379769,7.2894
224,0.696251998648074,3.860405022319474,9.1789
225,0.7000638066449881,-15.040531378250968,9.1436
226,0.7003121723900214,-24.945254656249496,10.5291
227,0.7041190357611635,80.28651424359171,9.9156
228,0.7101520979973966,28.251891362994357,7.7548
229,0.713934221050945,47.25228028222376,8.3179
230,0.7156953328849944,30.336515800384937,8.5372
231,0.7234136645319356,-58.78139080793526,9.6924
232,0.730061172437245,-30.14977982513695,8.4408
233,0.73197577966461,71.3585432993159,8.6593
234,0.7335802849445164,70.23800777413331,9.7232
235,0.7364674822995381,71.36804434330577,9.338
236,0.737816820825383,-0.8938298021518912,8.2501
237,0.7391120549466337,-39.52732250443261,9.159
238,0.7392740644927849,-20.04607412614068,6.3687
239,0.7431739361028106,3.3819374214093427,8.6684
240,0.743768356896947,9.795220105584722,10.9356
241,0.7519668730128314,9.138297047262128,8.9224
242,0.7521664112945637,-34.74405041954629,7.92
243,0.753377088304409,-60.69189460324484,7.9821
244,0.7588647119084114,39.99515226725072,8.0413
245,0.763581913542769,-7.815525812343583,8.6829
246,0.7636875497714574,56.7331842956596,9.8942
247,0.7655282912798741,8.261413560521042,9.2898
248,0.7657512005100698,8.270804556507198,8.1813
249,0.7741962202581534,31.870103068770838,8.873
250,0.7743172461332188,52.465168113905825,8.3196
251,0.7754054877918227,-25.261048750326704,8.802
252,0.7795909731331431,29.485982825988412,10.4711
253,0.7825728574933881,-24.145137813880467,6.6213
254,0.784669527789734,42.74791699889667,6.75
255,0.794523702857474,-24.58828780928461,8.0649
256,0.7965950255009632,54.51584356434606,9.6346
257,0.8030146967390388,-31.212393757654723,8.9076
258,0.805328076862237,17.55239670967225,6.7616
259,0.805904065604104,48.72233888409972,8.7788
260,0.8170959710727597,-55.405088586869205,9.7379
261,0.8205019702521165,-23.615345473012166,9.2118
262,0.8257960773608134,32.845869279102786,9.1337
263,0.8292374337657077,4.687135215692001,12.126
264,0.8320788403337426,38.24401533620595,8.59
265,0.8353931777250342,-64.47608068873735,9.1702
266,0.8353597399081104,-11.94521012936517,8.2587
267,0.8354113404871398,-4.1457302063390316,8.1794
268,0.8418054921850203,59.0786117245086,8.3086
269,0.8420520130059533,23.575049935697564,8.9371
270,0.8500564453983152,73.17449070659073,7.4145
271,0.8527715434204134,-35.965173595912404,9.2341
272,0.8555167847521135,-26.4151829274158,8.9823
